Sample #	EMG_A01	EMG_A04
4370	0.034943	0.071106
4371	0.000916	0.053406
4372	0.050964	0.048676
4373	0.030212	-0.015106
4374	0.007935	-0.009155
4375	-0.002289	0.032349
4376	-0.005798	0.008698
4377	0.015717	0.045319
4378	0.036469	0.007172
4379	0.01358	0.064697
4380	0.016479	0.093384
4381	0.016327	0.05188
4382	-0.001526	0.069122
4383	0.021973	0.109558
4384	0.01297	0.162354
4385	0.044403	0.167084
4386	0.014038	0.086517
4387	0.079651	-0.052338
4388	0.039215	-0.059967
4389	0.012207	-0.046997
4390	0.036774	-0.082092
4391	0.05722	-0.038147
4392	0.040283	-0.071869
4393	0.000916	-0.058899
4394	0.00061	-0.026703
4395	0.040436	-0.006714
4396	0.020142	0.005188
4397	0.010834	0.03006
4398	-0.000305	0.005341
4399	-0.007477	0.031891
4400	0.023193	0.042572
4401	0.028381	0.031281
4402	0.000763	0.002289
4403	0.008545	0.051422
4404	0.001678	0.011139
4405	0.024109	0.007172
4406	0.014648	0.014191
4407	0.043488	-0.011902
4408	0.032806	0.037231
4409	0.028839	0.123138
4410	-0.006866	0.124512
4411	0.029297	0.098724
4412	0.000305	0.113678
4413	0.038605	0.121002
4414	0.024414	0.106354
4415	0.058289	0.05188
4416	0.008392	0.043793
4417	-0.000916	-0.007019
4418	-0.01236	-0.001831
4419	0.00061	0.001984
4420	0.057373	-0.001526
4421	0.021362	0.00061
4422	0.039825	-0.044556
4423	0.013733	-0.025635
4424	0.056915	-0.001678
4425	0.062561	0.01236
4426	0.063324	0.052948
4427	0.026093	-0.018005
4428	-0.009155	0.004883
4429	0.002441	0.058136
4430	0.018768	0.034027
4431	0.013885	0.041809
4432	0.068207	0.06012
4433	0.006714	0.057373
4434	-0.012054	0.007477
4435	0.047302	0.091858
4436	0.019989	0.044708
4437	0.06073	0.133514
4438	0.005188	0.174561
4439	0.009003	0.199738
4440	-0.028534	0.050812
4441	0.061493	-0.089722
4442	0.001831	-0.066528
4443	0.026398	-0.071259
4444	-0.02655	-0.070343
4445	-0.004272	-0.054169
4446	0.02594	-0.037537
4447	-0.007477	0.004578
4448	0.032501	0.035095
4449	0.012207	-0.004272
4450	0.016327	-0.016632
4451	0.014191	0.00885
4452	0.040131	0.064392
4453	-0.035095	0.035858
4454	-0.000153	0.026855
4455	0.041504	0.060577
4456	0.06546	0.068359
4457	-0.031433	0.066833
4458	-0.01297	0.014038
4459	0.000916	0.035248
4460	0.025787	0.027618
4461	0.023956	0.062866
4462	0.000153	0.063324
4463	-0.025635	0.03952
4464	0.015106	0.05127
4465	0.047913	0.018616
4466	0.035858	0.002289
4467	0.039063	-0.005188
4468	0.019684	-0.019531
4469	0.065918	0.029449
4470	0.009766	-0.008087
4471	0.010071	-0.018005
4472	-0.012207	-0.02121
4473	0.011597	0.030365
4474	-0.030518	0.013123
4475	0.028839	0.042725
4476	0.055084	0.02121
4477	-0.004883	-0.026398
4478	0.016327	-0.015869
4479	0.021057	0.018768
4480	-0.002899	0.035553
4481	0.015106	0.018311
4482	0.00061	-0.000763
4483	-0.005341	0.021973
4484	0.00946	0.00351
4485	0.045471	0.006561
4486	0.0737	0.016785
4487	-0.003357	0.036011
4488	0.053558	0.066071
4489	0.018005	0.024567
4490	0.036011	-0.009003
4491	0.040283	-0.002289
4492	0.06012	0.039368
4493	0.017548	0.045776
4494	0.033112	0.048676
4495	0.040131	0.04425
4496	-0.014648	0.031433
4497	0.003204	0.026093
4498	-0.039063	0.032196
