Sample #	EMG_A01	EMG_A04
836	0.054932	0.046082
837	0.056458	-0.018921
838	-0.019226	0.016937
839	-0.014954	0.04776
840	0.045929	0.011444
841	0.036316	0.025024
842	0.012054	-0.010681
843	0.033112	0.014496
844	-0.00473	0.032959
845	0.024261	0.017242
846	0.027161	0.008087
847	0.035095	0.028687
848	0.086365	0.020599
849	0.023651	0.041962
850	0.019226	0.01709
851	0.032806	0.021515
852	0.003204	0.027161
853	0.05249	0.054626
854	0.023346	0.028687
855	0.035706	0.028534
856	0.016785	0.007324
857	0.032349	0.067902
858	-0.012207	0.057983
859	0.015106	0.035553
860	0.024414	0.053864
861	0.013733	0.062561
862	0.024567	0.056458
863	0.024567	0.023041
864	0.011292	0.016785
865	0.040588	0.026855
866	0.027466	0.036926
867	0.056458	0.001221
868	0.018616	-0.003052
869	0.021515	0.041199
870	0.034943	0.018616
871	0.021057	0.011902
872	0.042114	0.026245
873	0.016785	0.027618
874	0.028839	0.016937
875	0.020599	0.021667
876	-0.00824	-0.038605
877	0.079041	0.042877
878	0.019379	0.022888
879	0.033569	0.031128
880	-0.001221	0.044403
881	0.017395	0.0177
882	0.065155	0.044403
883	0.028839	0.034485
884	0.039673	0.070953
885	0.027313	0.016022
886	0.034637	-0.015411
887	0.017395	0.082855
888	0.032806	0.042267
889	0.067291	0.029144
890	0.024109	0.035858
891	0.036621	0.037384
892	0.016632	-0.002899
893	0.027618	0.002441
894	0.021362	0.043335
895	0.015717	0.041351
896	0.029755	0.010071
897	-0.006256	0.036926
898	0.020905	0.019836
899	0.052948	-0.002594
900	0.036469	0.004578
901	0.065918	-0.009155
902	0.014496	0.035706
903	0.009766	0.031433
904	0.041504	0.030518
905	0.06134	0.016327
906	0.048676	0.042419
907	0.020294	0.005188
908	0.032959	-0.009613
909	0.013123	0.021362
910	0.027313	-0.033875
911	0.053711	0.065155
912	0.023956	0.001068
913	0.044098	-0.003052
914	0.014191	0.067596
915	0.016785	-0.00946
916	0.036469	0.036163
917	0.056458	0.035553
918	0.019531	0.02121
919	0.021667	0.045319
920	0.00824	0.030212
921	0.019379	-0.012665
922	-0.006256	-0.001373
923	0.006256	0.097809
924	0.019073	0.105286
925	0.056	0.088501
926	-0.006256	0.06134
927	0.005493	0.040131
928	0.012817	0.072784
929	-0.005035	0.055695
930	0.054474	0.049744
931	-0.041656	-0.014648
932	0.012207	-0.010834
933	0.024414	0.020599
934	0.016022	0.005188
935	0.0177	0.033264
936	0.01297	0.004578
937	0.00946	-0.029297
938	0.024719	0.033264
939	-0.000153	0.036926
940	0.025482	0.00946
941	-0.005951	0.000458
942	0.032806	0.01358
943	0.005646	-0.028076
944	-0.002594	0.031433
945	0.024261	-0.020752
946	0.00824	0.027466
947	0.029602	0.061951
948	0.022583	0.01297
949	0.018616	-0.016632
950	0.010681	0.008698
951	-0.014343	-0.022888
952	0.038605	0.054932
953	0.000458	0.071564
954	0.022736	-0.000763
955	0.003052	0.021973
956	0.003662	0.008698
957	0.036011	0.029449
958	-0.003662	0.010986
959	0.005646	0.00946
960	0.017242	0.046844
961	0.007782	0.064392
962	0.018768	0.014496
963	0.019379	0.050964
964	0.017548	0.050812
965	0.01709	0.067444
966	0.033112	0.010681
967	-0.012054	0.059814
968	0.026398	0.027618
969	0.066528	0.039063
970	-0.00885	0.073242
971	0.029449	0.050659
972	0.003357	0.051422
973	-0.008545	-0.022736
974	0.03418	0.006104
975	0.009155	0.061798
976	0.016022	0.028839
977	0.002289	0.091248
978	0.032349	0.015106
979	0.046692	0.0177
980	0.039825	0.09079
981	0.082703	0.014343
982	0.037079	0.063324
983	0.058136	0.053406
984	0.048981	0.066528
985	0.026245	0.059662
986	0.034637	0.031281
987	0.00946	0.050354
988	0.022888	-0.036163
989	0.040588	0.057373
990	0.037537	0.071106
991	0.028839	0.012665
992	0.06073	0.027008
993	-0.006104	-0.036926
994	0.058441	-0.042572
995	0.005646	-0.013275
996	0.02655	-0.030518
997	0.01709	0.0354
998	0.004272	0.007782
999	0.033569	-0.036469
1000	0.014954	0.016327
1001	0.041809	0.011902
1002	0.030823	0.007172
1003	0.02594	-0.028687
1004	0.00885	-0.011292
1005	0.029144	-0.02533
1006	0.028687	0.052948
1007	0.041351	-0.015259
1008	0.038452	0.007935
1009	0.027924	0.020294
1010	0.000916	0.061798
1011	0.005035	0.00885
1012	0.049744	0.026703
1013	-0.003357	0.031433
1014	0.04303	0.04425
1015	0.053711	0.062408
1016	0.034943	0.043793
1017	0.014496	0.010529
1018	0.00824	0.040131
1019	0.030365	0.029755
1020	0.036163	0.087585
1021	0.032196	-0.008392
1022	-0.020599	0.05249
1023	0.020142	0.04715
1024	0.033722	0.084381
1025	-0.00473	0.048981
1026	0.007629	0.008545
1027	-0.00412	0.012817
1028	0.041809	0.013733
1029	0.015106	0.03006
1030	0.020905	-0.003052
1031	0.013733	0.018005
1032	0.004578	0.032654
1033	-0.005798	0.015869
1034	0.00885	0.013123
1035	0.002899	-0.004578
1036	0.028992	0.097809
1037	-0.002899	-0.001221
1038	-0.019531	-0.017395
1039	0.019836	0.093384
1040	-0.00412	0.09201
1041	0.043335	0.001373
1042	0.021667	0.012207
1043	0.02243	-0.024872
1044	0.04715	0.010834
1045	0.025177	0.003967
1046	0.046997	0.08606
1047	0.03067	-0.026093
1048	0.049591	-0.020294
1049	0.044861	0.043793
1050	0.049591	-0.011597
1051	0.026093	0.066071
1052	0.031891	0.093689
1053	0.039063	0.044403
1054	0.019073	0.04425
1055	-0.002899	0.015106
1056	0.010223	0.042877
1057	0.031128	0.079956
1058	0.031738	0.080261
1059	0.00473	0.060883
1060	0.02655	-0.029602
1061	0.027618	0.051117
1062	0.023651	0.024872
1063	0.02655	0.071106
1064	-0.015869	-0.006409
1065	0.003357	0.049286
1066	0.010834	0.00351
1067	-0.002594	0.040588
1068	0.061035	0.011444
1069	0.034485	0.012817
1070	0.037689	-0.004578
1071	0.094757	0.002136
1072	0.002899	0.015717
1073	0.092621	0.005951
1074	0.045776	0.058746
1075	0.057373	0.033569
1076	0.014648	0.081787
1077	-0.011902	-0.029907
1078	0.02243	0.068817
1079	0.009766	-0.00473
1080	0.037384	0.003662
1081	0.052185	0.006409
1082	0.022125	0.047913
1083	0.042877	0.065308
1084	0.035706	0.045624
1085	0.015564	0.050049
1086	0.028687	0.04303
1087	-0.0177	0.001984
1088	0.017853	0.047302
1089	0.005646	0.027008
1090	-0.014801	-0.030518
1091	0.019989	0.058746
1092	-0.003967	0.02121
1093	0.018005	-0.02594
1094	-0.005035	0.046539
1095	-0.013275	0.082245
1096	0.042114	0.070648
1097	-0.015259	0.069275
1098	0.034485	-0.03479
1099	0.035248	0.003357
1100	0.058746	0.044098
1101	0.080261	0.060272
1102	0.019226	0.015106
1103	0.054169	0.016632
1104	0.005341	0.048523
1105	0.019073	-0.038147
1106	0.037537	0.007629
1107	0.041656	0.024414
1108	0.06073	0.084991
1109	0.008545	0.032806
1110	0.038757	0.003052
1111	0.003052	0.051575
1112	0.024414	-0.001373
1113	0.045166	-0.004272
1114	0.001831	0.067444
1115	0.012665	0.009766
1116	0.066071	0.032501
1117	0.071564	0.014191
